genotype,elevation,Treatment,Tmin,tray,column,row,cell,cohort,plantID,label,freezing_date,freezing_OD,Germinated,Final_status,day_until_germination,day_of_death
93_4,2911,Control,4,1,1,A,1A,1,f_seed1,f_seed1_1_1A,10/10/22,283,1,1,9,101
93_4,2911,Control,4,1,1,A,1A,1,f_seed1A,f_seed1A_1_1A,10/10/22,283,0,0,101,NA
68_2,2904,Control,4,1,1,B,1B,1,f_seed2,f_seed2_1_1B,10/10/22,283,0,0,101,NA
68_2,2904,Control,4,1,1,B,1B,1,f_seed2A,f_seed2A_1_1B,10/10/22,283,0,0,101,NA
262_3,2717,Control,4,1,1,C,1C,1,f_seed48,f_seed48_1_1C,10/10/22,283,1,1,14,101
262_3,2717,Control,4,1,1,C,1C,1,f_seed48A,f_seed48A_1_1C,10/10/22,283,0,0,101,NA
255_7,3342,Control,4,1,1,D,1D,1,f_seed4,f_seed4_1_1D,10/10/22,283,0,0,101,NA
255_7,3342,Control,4,1,1,D,1D,1,f_seed4A,f_seed4A_1_1D,10/10/22,283,0,0,101,NA
283_14,2890,Control,4,1,1,E,1E,1,f_seed5,f_seed5_1_1E,10/10/22,283,1,1,19,101
283_14,2890,Control,4,1,1,E,1E,1,f_seed5A,f_seed5A_1_1E,10/10/22,283,0,0,101,NA
263_1,2795,Control,4,1,1,F,1F,1,f_seed6,f_seed6_1_1F,10/10/22,283,0,0,101,NA
263_1,2795,Control,4,1,1,F,1F,1,f_seed6A,f_seed6A_1_1F,10/10/22,283,0,0,101,NA
250_4,3133,Control,4,1,1,G,1G,1,f_seed7,f_seed7_1_1G,10/10/22,283,1,1,7,101
250_4,3133,Control,4,1,1,G,1G,1,f_seed7A,f_seed7A_1_1G,10/10/22,283,1,1,14,101
322_1,2999,Control,4,1,1,H,1H,1,f_seed8,f_seed8_1_1H,10/10/22,283,1,1,14,101
322_1,2999,Control,4,1,1,H,1H,1,f_seed8A,f_seed8A_1_1H,10/10/22,283,0,0,101,NA
297B_7,3431,Control,4,1,1,I,1I,1,f_seed9,f_seed9_1_1I,10/10/22,283,1,1,7,101
297B_7,3431,Control,4,1,1,I,1I,1,f_seed9A,f_seed9A_1_1I,10/10/22,283,1,1,14,101
302_1,3511,Control,4,1,2,A,2A,1,f_seed11,f_seed11_1_2A,10/10/22,283,1,1,21,35
302_1,3511,Control,4,1,2,A,2A,1,f_seed11A,f_seed11A_1_2A,10/10/22,283,0,0,101,NA
107_4,3091,Control,4,1,2,B,2B,1,f_seed12,f_seed12_1_2B,10/10/22,283,0,0,101,NA
107_4,3091,Control,4,1,2,B,2B,1,f_seed12A,f_seed12A_1_2B,10/10/22,283,0,0,101,NA
255_39,3342,Control,4,1,2,C,2C,1,f_seed13,f_seed13_1_2C,10/10/22,283,1,1,19,101
255_39,3342,Control,4,1,2,C,2C,1,f_seed13A,f_seed13A_1_2C,10/10/22,283,1,1,21,101
270_26,2553,Control,4,1,2,D,2D,1,f_seed14,f_seed14_1_2D,10/10/22,283,0,0,101,NA
270_26,2553,Control,4,1,2,D,2D,1,f_seed14A,f_seed14A_1_2D,10/10/22,283,0,0,101,NA
266_4,2992,Control,4,1,2,E,2E,1,f_seed15,f_seed15_1_2E,10/10/22,283,1,1,8,101
266_4,2992,Control,4,1,2,E,2E,1,f_seed15A,f_seed15A_1_2E,10/10/22,283,0,0,101,NA
323_11,2734,Control,4,1,2,F,2F,1,f_seed16,f_seed16_1_2F,10/10/22,283,1,1,8,101
323_11,2734,Control,4,1,2,F,2F,1,f_seed16A,f_seed16A_1_2F,10/10/22,283,1,1,21,101
83_1,2994,Control,4,1,2,G,2G,1,f_seed17,f_seed17_1_2G,10/10/22,283,0,0,101,NA
83_1,2994,Control,4,1,2,G,2G,1,f_seed17A,f_seed17A_1_2G,10/10/22,283,0,0,101,NA
212_13,3131,Control,4,1,2,H,2H,1,f_seed18,f_seed18_1_2H,10/10/22,283,1,1,14,101
212_13,3131,Control,4,1,2,H,2H,1,f_seed18A,f_seed18A_1_2H,10/10/22,283,0,0,101,NA
102_3,3072,Control,4,1,2,I,2I,1,f_seed19,f_seed19_1_2I,10/10/22,283,1,1,11,101
102_3,3072,Control,4,1,2,I,2I,1,f_seed19A,f_seed19A_1_2I,10/10/22,283,0,0,101,NA
269_20,2800,Control,4,1,2,J,2J,1,f_seed20,f_seed20_1_2J,10/10/22,283,0,0,101,NA
269_20,2800,Control,4,1,2,J,2J,1,f_seed20A,f_seed20A_1_2J,10/10/22,283,0,0,101,NA
154_1,2992,Control,4,1,3,A,3A,1,f_seed21,f_seed21_1_3A,10/10/22,283,1,1,7,101
154_1,2992,Control,4,1,3,A,3A,1,f_seed21A,f_seed21A_1_3A,10/10/22,283,1,1,11,101
50_1,2934,Control,4,1,3,B,3B,1,f_seed22,f_seed22_1_3B,10/10/22,283,0,0,101,NA
50_1,2934,Control,4,1,3,B,3B,1,f_seed22A,f_seed22A_1_3B,10/10/22,283,0,0,101,NA
86_2,2880,Control,4,1,3,C,3C,1,f_seed23,f_seed23_1_3C,10/10/22,283,1,1,8,101
86_2,2880,Control,4,1,3,C,3C,1,f_seed23A,f_seed23A_1_3C,10/10/22,283,0,0,101,NA
162_2,3055,Control,4,1,3,D,3D,1,f_seed24,f_seed24_1_3D,10/10/22,283,1,1,7,101
162_2,3055,Control,4,1,3,D,3D,1,f_seed24A,f_seed24A_1_3D,10/10/22,283,1,1,14,101
91_2,2910,Control,4,1,3,E,3E,1,f_seed25,f_seed25_1_3E,10/10/22,283,1,1,11,101
91_2,2910,Control,4,1,3,E,3E,1,f_seed25A,f_seed25A_1_3E,10/10/22,283,1,1,16,101
63_8,2960,Control,4,1,3,F,3F,1,f_seed26,f_seed26_1_3F,10/10/22,283,1,1,9,101
63_8,2960,Control,4,1,3,F,3F,1,f_seed26A,f_seed26A_1_3F,10/10/22,283,0,0,101,NA
200_1,3447,Control,4,1,3,G,3G,1,f_seed27,f_seed27_1_3G,10/10/22,283,1,1,7,101
200_1,3447,Control,4,1,3,G,3G,1,f_seed27A,f_seed27A_1_3G,10/10/22,283,1,1,7,101
250_14,3133,Control,4,1,3,H,3H,1,f_seed28,f_seed28_1_3H,10/10/22,283,0,0,101,NA
250_14,3133,Control,4,1,3,H,3H,1,f_seed28A,f_seed28A_1_3H,10/10/22,283,0,0,101,NA
301_8,3494,Control,4,1,3,I,3I,1,f_seed29,f_seed29_1_3I,10/10/22,283,1,1,10,101
301_8,3494,Control,4,1,3,I,3I,1,f_seed29A,f_seed29A_1_3I,10/10/22,283,1,1,14,101
48_2,2951,Control,4,1,3,J,3J,1,f_seed30,f_seed30_1_3J,10/10/22,283,1,1,9,101
48_2,2951,Control,4,1,3,J,3J,1,f_seed30A,f_seed30A_1_3J,10/10/22,283,0,0,101,NA
305_6,3604,Control,4,1,4,A,4A,1,f_seed31,f_seed31_1_4A,10/10/22,283,1,1,16,101
305_6,3604,Control,4,1,4,A,4A,1,f_seed31A,f_seed31A_1_4A,10/10/22,283,0,0,101,NA
303_8,3570,Control,4,1,4,B,4B,1,f_seed32,f_seed32_1_4B,10/10/22,283,0,0,101,NA
303_8,3570,Control,4,1,4,B,4B,1,f_seed32A,f_seed32A_1_4B,10/10/22,283,0,0,101,NA
60_4,2977,Control,4,1,4,C,4C,1,f_seed33,f_seed33_1_4C,10/10/22,283,1,1,7,101
60_4,2977,Control,4,1,4,C,4C,1,f_seed33A,f_seed33A_1_4C,10/10/22,283,1,1,7,101
283_2,2890,Control,4,1,4,D,4D,1,f_seed34,f_seed34_1_4D,10/10/22,283,1,1,10,101
283_2,2890,Control,4,1,4,D,4D,1,f_seed34A,f_seed34A_1_4D,10/10/22,283,0,0,101,NA
307_15,2714,Control,4,1,4,E,4E,1,f_seed35,f_seed35_1_4E,10/10/22,283,0,0,101,NA
307_15,2714,Control,4,1,4,E,4E,1,f_seed35A,f_seed35A_1_4E,10/10/22,283,0,0,101,NA
98_7,3011,Control,4,1,4,F,4F,1,f_seed36,f_seed36_1_4F,10/10/22,283,1,1,7,101
98_7,3011,Control,4,1,4,F,4F,1,f_seed36A,f_seed36A_1_4F,10/10/22,283,0,0,101,NA
270_5,2553,Control,4,1,4,G,4G,1,f_seed37,f_seed37_1_4G,10/10/22,283,0,0,101,NA
270_5,2553,Control,4,1,4,G,4G,1,f_seed37A,f_seed37A_1_4G,10/10/22,283,0,0,101,NA
47_1,2955,Control,4,1,4,H,4H,1,f_seed38,f_seed38_1_4H,10/10/22,283,1,1,14,101
47_1,2955,Control,4,1,4,H,4H,1,f_seed38A,f_seed38A_1_4H,10/10/22,283,0,0,101,NA
156_2,2996,Control,4,1,4,I,4I,1,f_seed39,f_seed39_1_4I,10/10/22,283,1,1,7,101
156_2,2996,Control,4,1,4,I,4I,1,f_seed39A,f_seed39A_1_4I,10/10/22,283,1,1,7,101
322_1,2999,Control,4,1,4,J,4J,1,f_seed40,f_seed40_1_4J,10/10/22,283,1,1,14,101
322_1,2999,Control,4,1,4,J,4J,1,f_seed40A,f_seed40A_1_4J,10/10/22,283,1,1,14,101
305_6,3604,Control,4,1,5,A,5A,1,f_seed41,f_seed41_1_5A,10/10/22,283,1,1,21,101
305_6,3604,Control,4,1,5,A,5A,1,f_seed41A,f_seed41A_1_5A,10/10/22,283,0,0,101,NA
273_37,2710,Control,4,1,5,B,5B,1,f_seed42,f_seed42_1_5B,10/10/22,283,1,1,8,101
273_37,2710,Control,4,1,5,B,5B,1,f_seed42A,f_seed42A_1_5B,10/10/22,283,1,1,21,101
154_1,2992,Control,4,1,5,C,5C,1,f_seed43,f_seed43_1_5C,10/10/22,283,1,1,7,101
154_1,2992,Control,4,1,5,C,5C,1,f_seed43A,f_seed43A_1_5C,10/10/22,283,1,1,7,101
194_2,3108,Control,4,1,5,E,5E,1,f_seed45,f_seed45_1_5E,10/10/22,283,0,0,101,NA
194_2,3108,Control,4,1,5,E,5E,1,f_seed45A,f_seed45A_1_5E,10/10/22,283,0,0,101,NA
103_3,3113,Control,4,1,5,F,5F,1,f_seed46,f_seed46_1_5F,10/10/22,283,0,0,101,NA
103_3,3113,Control,4,1,5,F,5F,1,f_seed46A,f_seed46A_1_5F,10/10/22,283,0,0,101,NA
51_2,2929,Control,4,1,5,G,5G,1,f_seed47,f_seed47_1_5G,10/10/22,283,0,0,101,NA
51_2,2929,Control,4,1,5,G,5G,1,f_seed47A,f_seed47A_1_5G,10/10/22,283,0,0,101,NA
273_50,2710,Control,4,1,5,I,5I,1,f_seed49,f_seed49_1_5I,10/10/22,283,0,0,101,NA
273_50,2710,Control,4,1,5,I,5I,1,f_seed49A,f_seed49A_1_5I,10/10/22,283,0,0,101,NA
270_10,2553,Control,4,1,5,J,5J,1,f_seed50,f_seed50_1_5J,10/10/22,283,1,1,7,101
270_10,2553,Control,4,1,5,J,5J,1,f_seed50A,f_seed50A_1_5J,10/10/22,283,1,1,11,101
78_2,3004,Control,4,1,6,A,6A,1,f_seed51,f_seed51_1_6A,10/10/22,283,0,0,101,NA
78_2,3004,Control,4,1,6,A,6A,1,f_seed51A,f_seed51A_1_6A,10/10/22,283,0,0,101,NA
267_15,2499,Control,4,1,6,B,6B,1,f_seed52,f_seed52_1_6B,10/10/22,283,0,0,101,NA
267_15,2499,Control,4,1,6,B,6B,1,f_seed52A,f_seed52A_1_6B,10/10/22,283,0,0,101,NA
259_19,2760,Control,4,1,6,C,6C,1,f_seed53,f_seed53_1_6C,10/10/22,283,1,1,7,101
259_19,2760,Control,4,1,6,C,6C,1,f_seed53A,f_seed53A_1_6C,10/10/22,283,1,1,11,101
273_30,2710,Control,4,1,6,D,6D,1,f_seed54,f_seed54_1_6D,10/10/22,283,1,1,8,101
273_30,2710,Control,4,1,6,D,6D,1,f_seed54A,f_seed54A_1_6D,10/10/22,283,1,1,14,101
262_3,2717,Control,4,1,6,E,6E,1,f_seed115,f_seed115_1_6E,10/10/22,283,0,0,101,NA
262_3,2717,Control,4,1,6,E,6E,1,f_seed115A,f_seed115A_1_6E,10/10/22,283,0,0,101,NA
162_2,3055,Control,4,1,6,F,6F,1,f_seed56,f_seed56_1_6F,10/10/22,283,1,1,7,101
162_2,3055,Control,4,1,6,F,6F,1,f_seed56A,f_seed56A_1_6F,10/10/22,283,1,1,7,101
102_3,3072,Control,4,1,6,H,6H,1,f_seed58,f_seed58_1_6H,10/10/22,283,0,0,101,NA
102_3,3072,Control,4,1,6,H,6H,1,f_seed58A,f_seed58A_1_6H,10/10/22,283,0,0,101,NA
257_2,2754,Control,4,1,6,I,6I,1,f_seed59,f_seed59_1_6I,10/10/22,283,0,0,101,NA
257_2,2754,Control,4,1,6,I,6I,1,f_seed59A,f_seed59A_1_6I,10/10/22,283,0,0,101,NA
189_1,3273,Control,4,1,6,J,6J,1,f_seed60,f_seed60_1_6J,10/10/22,283,0,0,101,NA
189_1,3273,Control,4,1,6,J,6J,1,f_seed60A,f_seed60A_1_6J,10/10/22,283,0,0,101,NA
267_15,2499,Control,4,1,7,A,7A,1,f_seed61,f_seed61_1_7A,10/10/22,283,1,1,14,101
267_15,2499,Control,4,1,7,A,7A,1,f_seed61A,f_seed61A_1_7A,10/10/22,283,0,0,101,NA
214_7,2694,Control,4,1,7,B,7B,1,f_seed62,f_seed62_1_7B,10/10/22,283,1,1,19,101
214_7,2694,Control,4,1,7,B,7B,1,f_seed62A,f_seed62A_1_7B,10/10/22,283,0,0,101,NA
60_4,2977,Control,4,1,7,C,7C,1,f_seed63,f_seed63_1_7C,10/10/22,283,1,1,7,101
60_4,2977,Control,4,1,7,C,7C,1,f_seed63A,f_seed63A_1_7C,10/10/22,283,1,1,7,101
303_8,3570,Control,4,1,7,D,7D,1,f_seed64,f_seed64_1_7D,10/10/22,283,1,0,25,101
303_8,3570,Control,4,1,7,D,7D,1,f_seed64A,f_seed64A_1_7D,10/10/22,283,0,0,101,NA
270_10,2553,Control,4,1,7,E,7E,1,f_seed65,f_seed65_1_7E,10/10/22,283,0,0,101,NA
270_10,2553,Control,4,1,7,E,7E,1,f_seed65A,f_seed65A_1_7E,10/10/22,283,0,0,101,NA
273_50,2710,Control,4,1,7,F,7F,1,f_seed66,f_seed66_1_7F,10/10/22,283,0,0,101,NA
273_50,2710,Control,4,1,7,F,7F,1,f_seed66A,f_seed66A_1_7F,10/10/22,283,0,0,101,NA
67_4,2903,Control,4,1,7,G,7G,1,f_seed67,f_seed67_1_7G,10/10/22,283,1,1,7,101
67_4,2903,Control,4,1,7,G,7G,1,f_seed67A,f_seed67A_1_7G,10/10/22,283,1,1,7,101
86_2,2880,Control,4,1,7,H,7H,1,f_seed68,f_seed68_1_7H,10/10/22,283,1,0,16,101
86_2,2880,Control,4,1,7,H,7H,1,f_seed68A,f_seed68A_1_7H,10/10/22,283,1,0,16,101
207_5,3219,Control,4,1,7,J,7J,1,f_seed70,f_seed70_1_7J,10/10/22,283,0,0,101,NA
207_5,3219,Control,4,1,7,J,7J,1,f_seed70A,f_seed70A_1_7J,10/10/22,283,0,0,101,NA
273_30,2710,Control,4,1,8,A,8A,1,f_seed71,f_seed71_1_8A,10/10/22,283,1,1,11,101
273_30,2710,Control,4,1,8,A,8A,1,f_seed71A,f_seed71A_1_8A,10/10/22,283,0,0,101,NA
270_26,2553,Control,4,1,8,B,8B,1,f_seed72,f_seed72_1_8B,10/10/22,283,1,1,9,101
270_26,2553,Control,4,1,8,B,8B,1,f_seed72A,f_seed72A_1_8B,10/10/22,283,1,1,10,101
255_27,3342,Control,4,1,8,C,8C,1,f_seed73,f_seed73_1_8C,10/10/22,283,1,1,7,101
255_27,3342,Control,4,1,8,C,8C,1,f_seed73A,f_seed73A_1_8C,10/10/22,283,1,1,14,101
250_16,3133,Control,4,1,8,D,8D,1,f_seed74,f_seed74_1_8D,10/10/22,283,0,0,101,NA
250_16,3133,Control,4,1,8,D,8D,1,f_seed74A,f_seed74A_1_8D,10/10/22,283,0,0,101,NA
49_3,2935,Control,4,1,8,E,8E,1,f_seed75,f_seed75_1_8E,10/10/22,283,0,0,101,NA
49_3,2935,Control,4,1,8,E,8E,1,f_seed75A,f_seed75A_1_8E,10/10/22,283,0,0,101,NA
78_2,3004,Control,4,1,8,F,8F,1,f_seed76,f_seed76_1_8F,10/10/22,283,0,0,101,NA
78_2,3004,Control,4,1,8,F,8F,1,f_seed76A,f_seed76A_1_8F,10/10/22,283,0,0,101,NA
91_2,2910,Control,4,1,8,G,8G,1,f_seed77,f_seed77_1_8G,10/10/22,283,1,1,14,101
91_2,2910,Control,4,1,8,G,8G,1,f_seed77A,f_seed77A_1_8G,10/10/22,283,1,1,14,101
213_1,2790,Control,4,1,8,H,8H,1,f_seed78,f_seed78_1_8H,10/10/22,283,1,1,7,101
213_1,2790,Control,4,1,8,H,8H,1,f_seed78A,f_seed78A_1_8H,10/10/22,283,1,1,9,101
214_7,2694,Control,4,1,8,I,8I,1,f_seed79,f_seed79_1_8I,10/10/22,283,0,0,101,NA
214_7,2694,Control,4,1,8,I,8I,1,f_seed79A,f_seed79A_1_8I,10/10/22,283,0,0,101,NA
95_10,2966,Control,4,1,8,J,8J,1,f_seed80,f_seed80_1_8J,10/10/22,283,0,0,101,NA
95_10,2966,Control,4,1,8,J,8J,1,f_seed80A,f_seed80A_1_8J,10/10/22,283,0,0,101,NA
51_2,2929,Control,4,1,9,A,9A,1,f_seed81,f_seed81_1_9A,10/10/22,283,0,0,101,NA
51_2,2929,Control,4,1,9,A,9A,1,f_seed81A,f_seed81A_1_9A,10/10/22,283,0,0,101,NA
199_1,3502,Control,4,1,9,B,9B,1,f_seed82,f_seed82_1_9B,10/10/22,283,1,1,9,101
199_1,3502,Control,4,1,9,B,9B,1,f_seed82A,f_seed82A_1_9B,10/10/22,283,0,0,101,NA
250_4,3133,Control,4,1,9,C,9C,1,f_seed83,f_seed83_1_9C,10/10/22,283,0,0,101,NA
250_4,3133,Control,4,1,9,C,9C,1,f_seed83A,f_seed83A_1_9C,10/10/22,283,0,0,101,NA
194_2,3108,Control,4,1,9,D,9D,1,f_seed84,f_seed84_1_9D,10/10/22,283,0,0,101,NA
194_2,3108,Control,4,1,9,D,9D,1,f_seed84A,f_seed84A_1_9D,10/10/22,283,0,0,101,NA
250_29,3133,Control,4,1,9,E,9E,1,f_seed85,f_seed85_1_9E,10/10/22,283,1,1,23,101
250_29,3133,Control,4,1,9,E,9E,1,f_seed85A,f_seed85A_1_9E,10/10/22,283,0,0,101,NA
157_3,3004,Control,4,1,9,F,9F,1,f_seed86,f_seed86_1_9F,10/10/22,283,0,0,101,NA
157_3,3004,Control,4,1,9,F,9F,1,f_seed86A,f_seed86A_1_9F,10/10/22,283,0,0,101,NA
207_5,3219,Control,4,1,9,G,9G,1,f_seed87,f_seed87_1_9G,10/10/22,283,1,1,21,101
207_5,3219,Control,4,1,9,G,9G,1,f_seed87A,f_seed87A_1_9G,10/10/22,283,0,0,101,NA
283_15,2890,Control,4,1,9,H,9H,1,f_seed88,f_seed88_1_9H,10/10/22,283,1,1,7,101
283_15,2890,Control,4,1,9,H,9H,1,f_seed88A,f_seed88A_1_9H,10/10/22,283,0,0,101,NA
283_10,2890,Control,4,1,9,I,9I,1,f_seed89,f_seed89_1_9I,10/10/22,283,0,0,101,NA
283_10,2890,Control,4,1,9,I,9I,1,f_seed89A,f_seed89A_1_9I,10/10/22,283,0,0,101,NA
1_3,2989,Control,4,1,9,J,9J,1,f_seed90,f_seed90_1_9J,10/10/22,283,1,1,21,101
1_3,2989,Control,4,1,9,J,9J,1,f_seed90A,f_seed90A_1_9J,10/10/22,283,1,1,21,101
48_2,2951,Control,4,1,10,A,10A,1,f_seed91,f_seed91_1_10A,10/10/22,283,1,1,21,101
48_2,2951,Control,4,1,10,A,10A,1,f_seed91A,f_seed91A_1_10A,10/10/22,283,0,0,101,NA
185_2,3411,Control,4,1,10,B,10B,1,f_seed92,f_seed92_1_10B,10/10/22,283,1,1,14,101
185_2,3411,Control,4,1,10,B,10B,1,f_seed92A,f_seed92A_1_10B,10/10/22,283,0,0,101,NA
189_1,3273,Control,4,1,10,C,10C,1,f_seed93,f_seed93_1_10C,10/10/22,283,1,1,10,101
189_1,3273,Control,4,1,10,C,10C,1,f_seed93A,f_seed93A_1_10C,10/10/22,283,0,0,101,NA
67_4,2903,Control,4,1,10,D,10D,1,f_seed94,f_seed94_1_10D,10/10/22,283,1,1,21,101
67_4,2903,Control,4,1,10,D,10D,1,f_seed94A,f_seed94A_1_10D,10/10/22,283,0,0,101,NA
283_14,2890,Control,4,1,10,E,10E,1,f_seed95,f_seed95_1_10E,10/10/22,283,1,1,14,101
283_14,2890,Control,4,1,10,E,10E,1,f_seed95A,f_seed95A_1_10E,10/10/22,283,0,0,101,NA
81_1,3095,Control,4,1,10,F,10F,1,f_seed96,f_seed96_1_10F,10/10/22,283,1,1,14,101
81_1,3095,Control,4,1,10,F,10F,1,f_seed96A,f_seed96A_1_10F,10/10/22,283,0,0,101,NA
250_14,3133,Control,4,1,10,G,10G,1,f_seed97,f_seed97_1_10G,10/10/22,283,1,1,10,101
250_14,3133,Control,4,1,10,G,10G,1,f_seed97A,f_seed97A_1_10G,10/10/22,283,0,0,101,NA
201_2,3352,Control,4,1,10,H,10H,1,f_seed98,f_seed98_1_10H,10/10/22,283,1,1,14,101
201_2,3352,Control,4,1,10,H,10H,1,f_seed98A,f_seed98A_1_10H,10/10/22,283,1,1,14,101
273_19,2710,Control,4,1,10,I,10I,1,f_seed99,f_seed99_1_10I,10/10/22,283,1,1,11,101
273_19,2710,Control,4,1,10,I,10I,1,f_seed99A,f_seed99A_1_10I,10/10/22,283,1,1,21,101
283_11,2890,Control,4,1,10,J,10J,1,f_seed100,f_seed100_1_10J,10/10/22,283,1,1,19,101
283_11,2890,Control,4,1,10,J,10J,1,f_seed100A,f_seed100A_1_10J,10/10/22,283,0,0,101,NA
272_10,2752,Control,4,1,11,A,11A,1,f_seed101,f_seed101_1_11A,10/10/22,283,0,0,101,NA
272_10,2752,Control,4,1,11,A,11A,1,f_seed101A,f_seed101A_1_11A,10/10/22,283,0,0,101,NA
302_1,3511,Control,4,1,11,B,11B,1,f_seed102,f_seed102_1_11B,10/10/22,283,1,1,9,101
302_1,3511,Control,4,1,11,B,11B,1,f_seed102A,f_seed102A_1_11B,10/10/22,283,0,0,101,NA
283_22,2890,Control,4,1,11,C,11C,1,f_seed103,f_seed103_1_11C,10/10/22,283,0,0,101,NA
283_22,2890,Control,4,1,11,C,11C,1,f_seed103A,f_seed103A_1_11C,10/10/22,283,0,0,101,NA
200_1,3447,Control,4,1,11,D,11D,1,f_seed104,f_seed104_1_11D,10/10/22,283,1,1,7,101
200_1,3447,Control,4,1,11,D,11D,1,f_seed104A,f_seed104A_1_11D,10/10/22,283,1,1,7,23
283_22,2890,Control,4,1,11,E,11E,1,f_seed105,f_seed105_1_11E,10/10/22,283,0,0,101,NA
283_22,2890,Control,4,1,11,E,11E,1,f_seed105A,f_seed105A_1_11E,10/10/22,283,0,0,101,NA
156_2,2996,Control,4,1,11,F,11F,1,f_seed106,f_seed106_1_11F,10/10/22,283,0,0,101,NA
156_2,2996,Control,4,1,11,F,11F,1,f_seed106A,f_seed106A_1_11F,10/10/22,283,0,0,101,NA
199_1,3502,Control,4,1,11,H,11H,1,f_seed108,f_seed108_1_11H,10/10/22,283,0,0,101,NA
199_1,3502,Control,4,1,11,H,11H,1,f_seed108A,f_seed108A_1_11H,10/10/22,283,0,0,101,NA
180_5,3249,Control,4,1,11,I,11I,1,f_seed109,f_seed109_1_11I,10/10/22,283,0,0,101,NA
180_5,3249,Control,4,1,11,I,11I,1,f_seed109A,f_seed109A_1_11I,10/10/22,283,0,0,101,NA
174_2,3252,Control,4,1,11,J,11J,1,f_seed110,f_seed110_1_11J,10/10/22,283,0,0,101,NA
174_2,3252,Control,4,1,11,J,11J,1,f_seed110A,f_seed110A_1_11J,10/10/22,283,0,0,101,NA
151_3,2975,Control,4,1,12,A,12A,1,f_seed111,f_seed111_1_12A,10/10/22,283,1,1,11,101
151_3,2975,Control,4,1,12,A,12A,1,f_seed111A,f_seed111A_1_12A,10/10/22,283,0,0,101,NA
49_3,2935,Control,4,1,12,B,12B,1,f_seed112,f_seed112_1_12B,10/10/22,283,1,1,21,101
49_3,2935,Control,4,1,12,B,12B,1,f_seed112A,f_seed112A_1_12B,10/10/22,283,0,0,101,NA
93_4,2911,Control,4,1,12,C,12C,1,f_seed113,f_seed113_1_12C,10/10/22,283,0,0,101,NA
93_4,2911,Control,4,1,12,C,12C,1,f_seed113A,f_seed113A_1_12C,10/10/22,283,0,0,101,NA
283_11,2890,Control,4,1,12,D,12D,1,f_seed114,f_seed114_1_12D,10/10/22,283,1,1,7,101
283_11,2890,Control,4,1,12,D,12D,1,f_seed114A,f_seed114A_1_12D,10/10/22,283,1,1,14,101
325_8,3530,Control,4,1,12,F,12F,1,f_seed116,f_seed116_1_12F,10/10/22,283,0,0,101,NA
325_8,3530,Control,4,1,12,F,12F,1,f_seed116A,f_seed116A_1_12F,10/10/22,283,0,0,101,NA
213_1,2790,Control,4,1,12,G,12G,1,f_seed117,f_seed117_1_12G,10/10/22,283,1,1,10,101
213_1,2790,Control,4,1,12,G,12G,1,f_seed117A,f_seed117A_1_12G,10/10/22,283,1,1,11,101
210_3,3161,Control,4,1,12,H,12H,1,f_seed118,f_seed118_1_12H,10/10/22,283,1,1,7,101
210_3,3161,Control,4,1,12,H,12H,1,f_seed118A,f_seed118A_1_12H,10/10/22,283,1,1,7,101
95_10,2966,Control,4,1,12,I,12I,1,f_seed119,f_seed119_1_12I,10/10/22,283,0,0,101,NA
95_10,2966,Control,4,1,12,I,12I,1,f_seed119A,f_seed119A_1_12I,10/10/22,283,0,0,101,NA
255_27,3342,Control,4,1,12,J,12J,1,f_seed120,f_seed120_1_12J,10/10/22,283,1,1,10,101
255_27,3342,Control,4,1,12,J,12J,1,f_seed120A,f_seed120A_1_12J,10/10/22,283,1,1,14,101
68_2,2904,Control,4,1,13,A,13A,1,f_seed121,f_seed121_1_13A,10/10/22,283,1,1,7,101
68_2,2904,Control,4,1,13,A,13A,1,f_seed121A,f_seed121A_1_13A,10/10/22,283,0,0,101,NA
273_37,2710,Control,4,1,13,B,13B,1,f_seed122,f_seed122_1_13B,10/10/22,283,1,1,7,101
273_37,2710,Control,4,1,13,B,13B,1,f_seed122A,f_seed122A_1_13B,10/10/22,283,1,1,19,101
253_3,3460,Control,4,1,13,C,13C,1,f_seed123,f_seed123_1_13C,10/10/22,283,0,0,101,NA
253_3,3460,Control,4,1,13,C,13C,1,f_seed123A,f_seed123A_1_13C,10/10/22,283,0,0,101,NA
250_28,3133,Control,4,1,13,D,13D,1,f_seed124,f_seed124_1_13D,10/10/22,283,1,1,14,101
250_28,3133,Control,4,1,13,D,13D,1,f_seed124A,f_seed124A_1_13D,10/10/22,283,0,0,101,NA
250_28,3133,Control,4,1,13,E,13E,1,f_seed125,f_seed125_1_13E,10/10/22,283,1,1,7,101
250_28,3133,Control,4,1,13,E,13E,1,f_seed125A,f_seed125A_1_13E,10/10/22,283,0,0,101,NA
255_13,3342,Control,4,1,13,F,13F,1,f_seed126,f_seed126_1_13F,10/10/22,283,1,1,7,101
255_13,3342,Control,4,1,13,F,13F,1,f_seed126A,f_seed126A_1_13F,10/10/22,283,1,1,7,101
328_5,3660,Control,4,1,13,G,13G,1,f_seed127,f_seed127_1_13G,10/10/22,283,1,1,11,101
328_5,3660,Control,4,1,13,G,13G,1,f_seed127A,f_seed127A_1_13G,10/10/22,283,1,1,14,101
255_7,3342,Control,4,1,13,H,13H,1,f_seed128,f_seed128_1_13H,10/10/22,283,1,1,7,101
